ReportingPeriodID	Period	FiscalYear	FiscalMonth	Month
20130101	1	2013	Jan	1/1/13
20130102	1	2013	Jan	1/2/13
20130103	1	2013	Jan	1/3/13
20130104	1	2013	Jan	1/4/13
20130105	1	2013	Jan	1/5/13
20130106	1	2013	Jan	1/6/13
20130107	1	2013	Jan	1/7/13
20130108	1	2013	Jan	1/8/13
20130109	1	2013	Jan	1/9/13
20130110	1	2013	Jan	1/10/13
20130111	1	2013	Jan	1/11/13
20130112	1	2013	Jan	1/12/13
20130113	1	2013	Jan	1/13/13
20130114	1	2013	Jan	1/14/13
20130115	1	2013	Jan	1/15/13
20130116	1	2013	Jan	1/16/13
20130117	1	2013	Jan	1/17/13
20130118	1	2013	Jan	1/18/13
20130119	1	2013	Jan	1/19/13
20130120	1	2013	Jan	1/20/13
20130121	1	2013	Jan	1/21/13
20130122	1	2013	Jan	1/22/13
20130123	1	2013	Jan	1/23/13
20130124	1	2013	Jan	1/24/13
20130125	1	2013	Jan	1/25/13
20130126	1	2013	Jan	1/26/13
20130127	1	2013	Jan	1/27/13
20130128	1	2013	Jan	1/28/13
20130129	1	2013	Jan	1/29/13
20130130	1	2013	Jan	1/30/13
20130131	1	2013	Jan	1/31/13
20130201	2	2013	Feb	2/1/13
20130202	2	2013	Feb	2/2/13
20130203	2	2013	Feb	2/3/13
20130204	2	2013	Feb	2/4/13
20130205	2	2013	Feb	2/5/13
20130206	2	2013	Feb	2/6/13
20130207	2	2013	Feb	2/7/13
20130208	2	2013	Feb	2/8/13
20130209	2	2013	Feb	2/9/13
20130210	2	2013	Feb	2/10/13
20130211	2	2013	Feb	2/11/13
20130212	2	2013	Feb	2/12/13
20130213	2	2013	Feb	2/13/13
20130214	2	2013	Feb	2/14/13
20130215	2	2013	Feb	2/15/13
20130216	2	2013	Feb	2/16/13
20130217	2	2013	Feb	2/17/13
20130218	2	2013	Feb	2/18/13
20130219	2	2013	Feb	2/19/13
20130220	2	2013	Feb	2/20/13
20130221	2	2013	Feb	2/21/13
20130222	2	2013	Feb	2/22/13
20130223	2	2013	Feb	2/23/13
20130224	2	2013	Feb	2/24/13
20130225	2	2013	Feb	2/25/13
20130226	2	2013	Feb	2/26/13
20130227	2	2013	Feb	2/27/13
20130228	2	2013	Feb	2/28/13
20130301	3	2013	Mar	3/1/13
20130302	3	2013	Mar	3/2/13
20130303	3	2013	Mar	3/3/13
20130304	3	2013	Mar	3/4/13
20130305	3	2013	Mar	3/5/13
20130306	3	2013	Mar	3/6/13
20130307	3	2013	Mar	3/7/13
20130308	3	2013	Mar	3/8/13
20130309	3	2013	Mar	3/9/13
20130310	3	2013	Mar	3/10/13
20130311	3	2013	Mar	3/11/13
20130312	3	2013	Mar	3/12/13
20130313	3	2013	Mar	3/13/13
20130314	3	2013	Mar	3/14/13
20130315	3	2013	Mar	3/15/13
20130316	3	2013	Mar	3/16/13
20130317	3	2013	Mar	3/17/13
20130318	3	2013	Mar	3/18/13
20130319	3	2013	Mar	3/19/13
20130320	3	2013	Mar	3/20/13
20130321	3	2013	Mar	3/21/13
20130322	3	2013	Mar	3/22/13
20130323	3	2013	Mar	3/23/13
20130324	3	2013	Mar	3/24/13
20130325	3	2013	Mar	3/25/13
20130326	3	2013	Mar	3/26/13
20130327	3	2013	Mar	3/27/13
20130328	3	2013	Mar	3/28/13
20130329	3	2013	Mar	3/29/13
20130330	3	2013	Mar	3/30/13
20130331	3	2013	Mar	3/31/13
20130401	4	2013	Apr	4/1/13
20130402	4	2013	Apr	4/2/13
20130403	4	2013	Apr	4/3/13
20130404	4	2013	Apr	4/4/13
20130405	4	2013	Apr	4/5/13
20130406	4	2013	Apr	4/6/13
20130407	4	2013	Apr	4/7/13
20130408	4	2013	Apr	4/8/13
20130409	4	2013	Apr	4/9/13
20130410	4	2013	Apr	4/10/13
20130411	4	2013	Apr	4/11/13
20130412	4	2013	Apr	4/12/13
20130413	4	2013	Apr	4/13/13
20130414	4	2013	Apr	4/14/13
20130415	4	2013	Apr	4/15/13
20130416	4	2013	Apr	4/16/13
20130417	4	2013	Apr	4/17/13
20130418	4	2013	Apr	4/18/13
20130419	4	2013	Apr	4/19/13
20130420	4	2013	Apr	4/20/13
20130421	4	2013	Apr	4/21/13
20130422	4	2013	Apr	4/22/13
20130423	4	2013	Apr	4/23/13
20130424	4	2013	Apr	4/24/13
20130425	4	2013	Apr	4/25/13
20130426	4	2013	Apr	4/26/13
20130427	4	2013	Apr	4/27/13
20130428	4	2013	Apr	4/28/13
20130429	4	2013	Apr	4/29/13
20130430	4	2013	Apr	4/30/13
20130501	5	2013	May	5/1/13
20130502	5	2013	May	5/2/13
20130503	5	2013	May	5/3/13
20130504	5	2013	May	5/4/13
20130505	5	2013	May	5/5/13
20130506	5	2013	May	5/6/13
20130507	5	2013	May	5/7/13
20130508	5	2013	May	5/8/13
20130509	5	2013	May	5/9/13
20130510	5	2013	May	5/10/13
20130511	5	2013	May	5/11/13
20130512	5	2013	May	5/12/13
20130513	5	2013	May	5/13/13
20130514	5	2013	May	5/14/13
20130515	5	2013	May	5/15/13
20130516	5	2013	May	5/16/13
20130517	5	2013	May	5/17/13
20130518	5	2013	May	5/18/13
20130519	5	2013	May	5/19/13
20130520	5	2013	May	5/20/13
20130521	5	2013	May	5/21/13
20130522	5	2013	May	5/22/13
20130523	5	2013	May	5/23/13
20130524	5	2013	May	5/24/13
20130525	5	2013	May	5/25/13
20130526	5	2013	May	5/26/13
20130527	5	2013	May	5/27/13
20130528	5	2013	May	5/28/13
20130529	5	2013	May	5/29/13
20130530	5	2013	May	5/30/13
20130531	5	2013	May	5/31/13
20130601	6	2013	Jun	6/1/13
20130602	6	2013	Jun	6/2/13
20130603	6	2013	Jun	6/3/13
20130604	6	2013	Jun	6/4/13
20130605	6	2013	Jun	6/5/13
20130606	6	2013	Jun	6/6/13
20130607	6	2013	Jun	6/7/13
20130608	6	2013	Jun	6/8/13
20130609	6	2013	Jun	6/9/13
20130610	6	2013	Jun	6/10/13
20130611	6	2013	Jun	6/11/13
20130612	6	2013	Jun	6/12/13
20130613	6	2013	Jun	6/13/13
20130614	6	2013	Jun	6/14/13
20130615	6	2013	Jun	6/15/13
20130616	6	2013	Jun	6/16/13
20130617	6	2013	Jun	6/17/13
20130618	6	2013	Jun	6/18/13
20130619	6	2013	Jun	6/19/13
20130620	6	2013	Jun	6/20/13
20130621	6	2013	Jun	6/21/13
20130622	6	2013	Jun	6/22/13
20130623	6	2013	Jun	6/23/13
20130624	6	2013	Jun	6/24/13
20130625	6	2013	Jun	6/25/13
20130626	6	2013	Jun	6/26/13
20130627	6	2013	Jun	6/27/13
20130628	6	2013	Jun	6/28/13
20130629	6	2013	Jun	6/29/13
20130630	6	2013	Jun	6/30/13
20130701	7	2013	Jul	7/1/13
20130702	7	2013	Jul	7/2/13
20130703	7	2013	Jul	7/3/13
20130704	7	2013	Jul	7/4/13
20130705	7	2013	Jul	7/5/13
20130706	7	2013	Jul	7/6/13
20130707	7	2013	Jul	7/7/13
20130708	7	2013	Jul	7/8/13
20130709	7	2013	Jul	7/9/13
20130710	7	2013	Jul	7/10/13
20130711	7	2013	Jul	7/11/13
20130712	7	2013	Jul	7/12/13
20130713	7	2013	Jul	7/13/13
20130714	7	2013	Jul	7/14/13
20130715	7	2013	Jul	7/15/13
20130716	7	2013	Jul	7/16/13
20130717	7	2013	Jul	7/17/13
20130718	7	2013	Jul	7/18/13
20130719	7	2013	Jul	7/19/13
20130720	7	2013	Jul	7/20/13
20130721	7	2013	Jul	7/21/13
20130722	7	2013	Jul	7/22/13
20130723	7	2013	Jul	7/23/13
20130724	7	2013	Jul	7/24/13
20130725	7	2013	Jul	7/25/13
20130726	7	2013	Jul	7/26/13
20130727	7	2013	Jul	7/27/13
20130728	7	2013	Jul	7/28/13
20130729	7	2013	Jul	7/29/13
20130730	7	2013	Jul	7/30/13
20130731	7	2013	Jul	7/31/13
20130801	8	2013	Aug	8/1/13
20130802	8	2013	Aug	8/2/13
20130803	8	2013	Aug	8/3/13
20130804	8	2013	Aug	8/4/13
20130805	8	2013	Aug	8/5/13
20130806	8	2013	Aug	8/6/13
20130807	8	2013	Aug	8/7/13
20130808	8	2013	Aug	8/8/13
20130809	8	2013	Aug	8/9/13
20130810	8	2013	Aug	8/10/13
20130811	8	2013	Aug	8/11/13
20130812	8	2013	Aug	8/12/13
20130813	8	2013	Aug	8/13/13
20130814	8	2013	Aug	8/14/13
20130815	8	2013	Aug	8/15/13
20130816	8	2013	Aug	8/16/13
20130817	8	2013	Aug	8/17/13
20130818	8	2013	Aug	8/18/13
20130819	8	2013	Aug	8/19/13
20130820	8	2013	Aug	8/20/13
20130821	8	2013	Aug	8/21/13
20130822	8	2013	Aug	8/22/13
20130823	8	2013	Aug	8/23/13
20130824	8	2013	Aug	8/24/13
20130825	8	2013	Aug	8/25/13
20130826	8	2013	Aug	8/26/13
20130827	8	2013	Aug	8/27/13
20130828	8	2013	Aug	8/28/13
20130829	8	2013	Aug	8/29/13
20130830	8	2013	Aug	8/30/13
20130831	8	2013	Aug	8/31/13
20130901	9	2013	Sep	9/1/13
20130902	9	2013	Sep	9/2/13
20130903	9	2013	Sep	9/3/13
20130904	9	2013	Sep	9/4/13
20130905	9	2013	Sep	9/5/13
20130906	9	2013	Sep	9/6/13
20130907	9	2013	Sep	9/7/13
20130908	9	2013	Sep	9/8/13
20130909	9	2013	Sep	9/9/13
20130910	9	2013	Sep	9/10/13
20130911	9	2013	Sep	9/11/13
20130912	9	2013	Sep	9/12/13
20130913	9	2013	Sep	9/13/13
20130914	9	2013	Sep	9/14/13
20130915	9	2013	Sep	9/15/13
20130916	9	2013	Sep	9/16/13
20130917	9	2013	Sep	9/17/13
20130918	9	2013	Sep	9/18/13
20130919	9	2013	Sep	9/19/13
20130920	9	2013	Sep	9/20/13
20130921	9	2013	Sep	9/21/13
20130922	9	2013	Sep	9/22/13
20130923	9	2013	Sep	9/23/13
20130924	9	2013	Sep	9/24/13
20130925	9	2013	Sep	9/25/13
20130926	9	2013	Sep	9/26/13
20130927	9	2013	Sep	9/27/13
20130928	9	2013	Sep	9/28/13
20130929	9	2013	Sep	9/29/13
20130930	9	2013	Sep	9/30/13
20131001	10	2013	Oct	10/1/13
20131002	10	2013	Oct	10/2/13
20131003	10	2013	Oct	10/3/13
20131004	10	2013	Oct	10/4/13
20131005	10	2013	Oct	10/5/13
20131006	10	2013	Oct	10/6/13
20131007	10	2013	Oct	10/7/13
20131008	10	2013	Oct	10/8/13
20131009	10	2013	Oct	10/9/13
20131010	10	2013	Oct	10/10/13
20131011	10	2013	Oct	10/11/13
20131012	10	2013	Oct	10/12/13
20131013	10	2013	Oct	10/13/13
20131014	10	2013	Oct	10/14/13
20131015	10	2013	Oct	10/15/13
20131016	10	2013	Oct	10/16/13
20131017	10	2013	Oct	10/17/13
20131018	10	2013	Oct	10/18/13
20131019	10	2013	Oct	10/19/13
20131020	10	2013	Oct	10/20/13
20131021	10	2013	Oct	10/21/13
20131022	10	2013	Oct	10/22/13
20131023	10	2013	Oct	10/23/13
20131024	10	2013	Oct	10/24/13
20131025	10	2013	Oct	10/25/13
20131026	10	2013	Oct	10/26/13
20131027	10	2013	Oct	10/27/13
20131028	10	2013	Oct	10/28/13
20131029	10	2013	Oct	10/29/13
20131030	10	2013	Oct	10/30/13
20131031	10	2013	Oct	10/31/13
20131101	11	2013	Nov	11/1/13
20131102	11	2013	Nov	11/2/13
20131103	11	2013	Nov	11/3/13
20131104	11	2013	Nov	11/4/13
20131105	11	2013	Nov	11/5/13
20131106	11	2013	Nov	11/6/13
20131107	11	2013	Nov	11/7/13
20131108	11	2013	Nov	11/8/13
20131109	11	2013	Nov	11/9/13
20131110	11	2013	Nov	11/10/13
20131111	11	2013	Nov	11/11/13
20131112	11	2013	Nov	11/12/13
20131113	11	2013	Nov	11/13/13
20131114	11	2013	Nov	11/14/13
20131115	11	2013	Nov	11/15/13
20131116	11	2013	Nov	11/16/13
20131117	11	2013	Nov	11/17/13
20131118	11	2013	Nov	11/18/13
20131119	11	2013	Nov	11/19/13
20131120	11	2013	Nov	11/20/13
20131121	11	2013	Nov	11/21/13
20131122	11	2013	Nov	11/22/13
20131123	11	2013	Nov	11/23/13
20131124	11	2013	Nov	11/24/13
20131125	11	2013	Nov	11/25/13
20131126	11	2013	Nov	11/26/13
20131127	11	2013	Nov	11/27/13
20131128	11	2013	Nov	11/28/13
20131129	11	2013	Nov	11/29/13
20131130	11	2013	Nov	11/30/13
20131201	12	2013	Dec	12/1/13
20131202	12	2013	Dec	12/2/13
20131203	12	2013	Dec	12/3/13
20131204	12	2013	Dec	12/4/13
20131205	12	2013	Dec	12/5/13
20131206	12	2013	Dec	12/6/13
20131207	12	2013	Dec	12/7/13
20131208	12	2013	Dec	12/8/13
20131209	12	2013	Dec	12/9/13
20131210	12	2013	Dec	12/10/13
20131211	12	2013	Dec	12/11/13
20131212	12	2013	Dec	12/12/13
20131213	12	2013	Dec	12/13/13
20131214	12	2013	Dec	12/14/13
20131215	12	2013	Dec	12/15/13
20131216	12	2013	Dec	12/16/13
20131217	12	2013	Dec	12/17/13
20131218	12	2013	Dec	12/18/13
20131219	12	2013	Dec	12/19/13
20131220	12	2013	Dec	12/20/13
20131221	12	2013	Dec	12/21/13
20131222	12	2013	Dec	12/22/13
